Times,Result
1,False
2,False
3,False
4,True
5,True
6,True
7,False
8,True
9,False
10,False
11,True
12,True
13,False
14,True
15,False
16,False
17,True
18,True
19,False
20,False
21,False
22,False
23,True
24,False
25,True
26,True
27,True
28,False
29,False
30,True
31,False
32,False
33,True
34,False
35,True
36,True
37,True
38,True
39,True
40,True
41,False
42,True
43,True
44,False
45,False
46,True
47,True
48,True
49,False
50,False
51,True
52,False
53,True
54,False
55,True
56,False
57,False
58,False
59,False
60,False
61,True
62,False
63,True
64,True
65,False
66,False
67,True
68,True
69,True
70,True
71,True
72,True
73,False
74,False
75,False
76,True
77,False
78,True
79,False
80,True
81,False
82,False
83,True
84,False
85,True
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,False
94,True
95,True
96,False
97,True
98,False
99,False
100,True
101,False
102,False
103,False
104,False
105,True
106,True
107,False
108,False
109,True
110,False
111,False
112,True
113,True
114,True
115,True
116,False
117,True
118,True
119,True
120,False
121,False
122,True
123,True
124,False
125,True
126,True
127,False
128,True
129,True
130,False
131,True
132,True
133,True
134,True
135,True
136,False
137,True
138,True
139,False
140,False
141,True
142,False
143,False
144,True
145,False
146,False
147,True
148,True
149,True
150,True
151,True
152,False
153,False
154,True
155,False
156,False
157,False
158,True
159,False
160,True
161,False
162,True
163,True
164,True
165,True
166,True
167,True
168,False
169,False
170,True
171,False
172,False
173,True
174,True
175,False
176,True
177,False
178,False
179,True
180,True
181,False
182,True
183,True
184,True
185,False
186,True
187,False
188,True
189,True
190,True
191,False
192,False
193,False
194,True
195,False
196,True
197,False
198,False
199,True
200,True
201,True
202,True
203,False
204,False
205,False
206,False
207,True
208,False
209,False
210,True
211,False
212,True
213,False
214,True
215,False
216,True
217,False
218,True
219,False
220,False
221,True
222,False
223,True
224,True
225,True
226,False
227,True
228,False
229,False
230,False
231,True
232,False
233,True
234,True
235,True
236,False
237,True
238,True
239,True
240,False
241,False
242,False
243,True
244,True
245,True
246,False
247,True
248,False
249,False
250,True
251,True
252,False
253,True
254,True
255,True
256,True
257,False
258,True
259,False
260,False
261,False
262,False
263,False
264,True
265,True
266,True
267,True
268,False
269,True
270,True
271,False
272,True
273,False
274,False
275,True
276,True
277,False
278,False
279,False
280,True
281,False
282,True
283,True
284,False
285,True
286,False
287,False
288,True
289,True
290,False
291,False
292,False
293,False
294,False
295,False
296,False
297,False
298,False
299,False
300,True
301,True
302,False
303,False
304,False
305,False
306,True
307,False
308,False
309,False
310,True
311,False
312,True
313,False
314,False
315,False
316,False
317,True
318,True
319,False
