Times,Result
1,False
2,True
3,True
4,True
5,True
6,False
7,True
8,True
9,False
10,False
11,False
12,False
13,False
14,False
15,True
16,False
17,True
18,False
19,True
20,True
21,False
22,True
23,True
24,False
25,False
26,True
27,True
28,False
29,True
30,False
31,True
32,True
33,False
34,True
35,True
36,False
37,False
38,True
39,False
40,True
41,False
42,False
43,True
44,False
45,True
46,True
47,False
48,True
49,True
50,False
51,False
52,True
53,True
54,False
55,True
56,True
57,True
58,True
59,True
60,True
61,False
62,True
63,True
64,True
65,False
66,True
67,False
68,False
69,False
70,False
71,True
72,False
73,False
74,False
75,True
76,True
77,False
78,False
79,True
80,True
81,False
82,True
83,True
84,False
85,False
86,False
87,True
88,True
89,False
90,True
91,False
92,False
93,True
94,False
95,False
96,False
97,False
98,False
99,True
100,True
101,True
102,False
103,False
104,False
105,True
106,False
107,True
108,True
109,True
110,False
111,False
112,True
113,False
114,False
115,True
116,True
117,True
118,True
119,False
120,True
121,False
122,False
123,True
124,False
125,True
126,False
127,True
128,False
129,True
130,False
131,False
132,False
133,True
134,True
135,False
136,False
137,False
138,False
139,True
140,False
141,False
142,False
143,False
144,False
145,False
146,False
147,False
148,True
149,False
150,False
151,True
152,False
153,False
154,True
155,True
156,False
157,True
158,True
159,False
160,True
161,True
162,False
163,False
164,True
165,True
166,False
167,False
168,False
169,False
170,True
171,True
172,True
173,False
174,False
175,False
176,False
177,False
178,True
179,True
180,True
181,True
182,False
183,False
184,False
185,True
186,True
187,True
188,False
189,True
190,True
191,True
192,True
193,False
194,False
195,False
196,False
197,True
198,True
199,False
200,False
201,False
202,True
203,False
204,False
205,False
206,False
207,True
208,True
209,True
210,True
211,False
212,False
213,True
214,True
215,True
216,True
217,False
218,False
219,True
220,False
221,True
222,False
223,False
224,False
225,False
226,False
227,True
228,True
229,True
230,False
231,True
232,True
233,False
234,True
235,False
236,False
237,False
238,True
239,True
240,False
241,True
242,True
243,False
244,True
245,True
246,False
247,True
248,True
249,False
250,True
251,True
252,False
253,True
254,False
255,True
256,False
257,True
258,True
259,True
260,False
261,True
262,True
263,True
264,False
265,True
266,False
267,True
268,False
